house_name,location,bedroom_count,bathroom_count,carport_count,price,land_area,building_area (m2)
Rumah Nyaman Berada Dipusat Kota Bandung di Halteu Utara,"Andir, Bandung",4,1,1,500000000,120,110
Dijual Rumaah di Lugina Andir,"Andir, Bandung",2,1,1,3000000000,240,200
"Jl. Elang, Garuda, Andir. Dijual Rumah 3 Lantai di Kota Bandung","Andir, Bandung",2,2,1,550000000,31,77
Rumah 2 Lantai dijual bagus siap huni sayap andir bandung,"Andir, Bandung",2,2,0,1400000000,137,160
HOT DEAL SALE!! YUK MILIKI RUMAH HOKI!! Rumah Bagus Minimalis Campaka Andir,"Andir, Bandung",2,2,1,1100000000,72,65
HOT DEAL SALE!! YUK KEPOIN HARGA KEREN!! Rumah Bagus Campaka Andir Pasteur,"Andir, Bandung",4,2,2,1250000000,200,150
Rumah ex kos2 an jl Maleber Barat,"Andir, Bandung",5,3,0,400000000,56,95
Dijual Rumah Baru Ditengah Kota Andir. Rumah Sudah Smart Home,"Andir, Bandung",3,2,1,1600000000,70,116
Dijual Rumah Baru Ditengah Kota Andir. Rumah Sudah Smart Home,"Andir, Bandung",3,2,1,1600000000,70,116
Rumah Minimalis Sayap Rajawali Ciroyom Bandung,"Andir, Bandung",4,2,1,1800000000,89,145
Rumah 2 lantai di jl Halteu Utara ,"Andir, Bandung",4,2,1,1800000000,89,145
Rumah Kawasan Ramai Cocok Untuk Usaha di Kebon Jati,"Andir, Bandung",0,0,0,11900000000,598,550
Dijual rumah mewah bagus dan twrawat kompleks perumahan Dadali Bandung,"Andir, Bandung",7,4,2,6500000000,364,500
Dijual rumah kawasan sayap Jalan Elang Bandung,"Andir, Bandung",3,1,0,2000000000,200,180
Rumah di Bawah Pasaran di Jalan Elang Andir Pusat Kota Bandung,"Andir, Bandung",5,7,2,9000000000,718,1000
TURUN HARGA! RUMAH RAJAWALI SAKTI (DEKAT PUSAT KOTA),"Andir, Bandung",6,3,2,2000000000,161,200
Rumah Besar Rajawali,"Andir, Bandung",5,4,0,8900000000,447,700
Rumah Tinggal lokasi strategis di pusat kota Bandung ,"Andir, Bandung",4,2,1,1200000000,120,100
Rumah di Sayap Rajawali 2 Lantai (HSO),"Andir, Bandung",4,2,4,3500000000,240,200
Jual rumah pusat kota ,"Andir, Bandung",5,4,1,1350000000,170,350
Liat Aja Sendiri Beli Rumah Keren Komplek Biofarma Andir Bandung,"Andir, Bandung",4,3,1,35000000000,317,200
Rumah 2 Lantai di Rajawali Sakti Dekat Supermarket,"Andir, Bandung",4,1,0,1100000000,97,90
Rumah di Rajawali lokasi strategis siap huni ,"Andir, Bandung",4,1,1,1100000000,97,90
DIJUAL RUMAH ASRI BANGUNAN KOKOH TERAWAT DI ANDIR BANDUNG,"Andir, Bandung",3,1,0,550000000,125,115
"Rumah Strategis di Komplek Dadali Bandung Dkt Rs , Stasiun Kereta","Andir, Bandung",4,3,0,5800000000,400,400
"Rumah 2 Lantai Murah Tengah Kota Sayap Rajawali, Bandung","Andir, Bandung",4,1,1,1100000000,97,90
Rumah perkomplekan,"Andir, Bandung",4,3,1,4000000000,202,300
Rumah Hunian Pusat Kota Bandung Murah Andir Town House,"Andir, Bandung",3,2,2,1400000000,49,72
Rumah sayap pajajaran Minimalis 2 Lantai Hommy terawat,"Andir, Bandung",4,4,4,1580000000,178,250
Rumah Besar Tengah Kota Sayap Sudirman,"Andir, Bandung",7,4,0,11000000000,188,260
Dijual Rumah Pusat Kota Dekat Mall Paskal 23,"Andir, Bandung",3,2,1,1600000000,70,116
Dijual rumah lokasi dekat dengan Bandara husen kota bandung,"Andir, Bandung",4,3,1,1750000000,158,150
HOT DEAL SALE!! MILIKI Rumah 2 Lantai Bagus Maleber Andir,"Andir, Bandung",3,1,0,325000000,38,70
Rumah Dijual Minimalis Cantik di Dalam Komplek Sayap Rajawali,"Andir, Bandung",3,2,0,1200000000,126,98
Rumah Cantik Murah Siap Huni di Komplek Elang Bandung,"Andir, Bandung",6,5,2,1500000000,187,370
Rumah Cantik Murah Siap Huni di Komplek Elang Bandung,"Andir, Bandung",6,5,2,1500000000,187,370
Rumah Siap Huni dengan Hunian Asri & Dalam Komplek @Bandung,"Andir, Bandung",3,2,2,7000000000,510,300
Dijual Rumah Posisi Tusuk Sate Di Jl Garuda Kota Bandung,"Andir, Bandung",5,4,0,5300000000,270,160
Dijual Rumah Posisi Tusuk Sate Di Jl Garuda Kota Bandung,"Andir, Bandung",5,4,0,5300000000,270,160
Jual Rumah Sayap Rajawali ,"Andir, Bandung",5,4,1,1500000000,170,350
Rumah Pusat Kota Sayap Dulatip Akses Gang,"Andir, Bandung",4,2,0,2500000000,168,165
Rumah Minimalis Tengah Kota Andir Town House,"Andir, Bandung",2,2,1,999000000,39,52
Rumah Pasteur Bonus Furnished Exclusive 1.3KM SMAN 13 Andir Cibeureum,"Andir, Bandung",4,3,2,1990000000,104,125
Rumah cantik terawat di Andir town house kota Bandung ,"Andir, Bandung",2,2,1,1000000000,39,525
Rumah Pasteur Bonus Furnished Exclusive 1.3KM SMAN 13 Andir Cibeureum,"Andir, Bandung",4,11,2,1990000000,104,125
Rumah 2 Lantai Siap Huni di Sayap Pasteur Bandung ,"Andir, Bandung",4,4,0,2500000000,153,167
"Pasti Bikin Jatuh Cinta Rumahnya Bersih Terawat Dengan Sempurna di Tengah Kota Bandung, Komplek Dadali","Andir, Bandung",5,4,2,5500000000,392,260
Dijual Rumah Di Sayap Rajawali Bandung ,"Andir, Bandung",4,4,1,2500000000,228,450
Rumah Kost 3 Lantai Di Ciroyom Andir Bandung,"Andir, Bandung",11,5,0,2250000000,163,300
Dijual Rumah Tengah Kota Rajawali Sakti Bandung,"Andir, Bandung",3,2,1,3700000000,235,150
Dijual Rumah Tinggal Di Halteu Selatan Kota Bandung,"Andir, Bandung",3,2,2,2000000000,140,90
Rumah 2 Lantai Siap Huni di Town House Andir,"Andir, Bandung",3,2,1,1600000000,70,116
Jual Rumah Siap Huni Sudirman Town House Area Sudirman,"Andir, Bandung",4,4,2,5000000000,160,226
Rumah Apik Kec Andir,"Andir, Bandung",3,2,0,3950000000,202,360
"Jual Rumah Tipe Split House 2 Lantai  di Jamika, andir Bandung","Andir, Bandung",5,3,1,4000000000,184,234
Rumah Terawat Nyaman Dan Aman di Sayap Garuda Bandung,"Andir, Bandung",4,5,0,4750000000,405,700
Rumah di rajawali dijual murah,"Andir, Bandung",4,1,1,1100000000,97,90
Rumah di Cempaka Hijau(as) Andir Maleber dekat Bandara Husein,"Andir, Bandung",2,2,0,1300000000,137,160
Jual Cepat Rumah Tengah Kota Bandung Rajawali Andir,"Andir, Bandung",4,1,2,1100000000,97,120
"Stok Terbatas Nih... Rumah Tengah Kota, Sangat Strategis Area Cibadak","Andir, Bandung",4,4,1,3600000000,127,250
"Ruko Maleber Pajajaran, Lokasi Strategis, Cocok Untuk Usaha","Andir, Bandung",4,3,1,2500000000,259,270
Rumah siap huni elang,"Andir, Bandung",0,2,1,1550000000,129,98
"Rumah Bagus di Rajawali, Bandung, Siap Huni H","Andir, Bandung",4,2,0,1400000000,140,160
Jual Cepat Rumah Megah di Andir Tengah Kota Bandung,"Andir, Bandung",4,4,6,4950000000,550,250
"Rumah Nyaman Untuk Hunian di Srigunting Utara, Sayap Rajawali","Andir, Bandung",4,2,3,3300000000,240,200
Rumah Siap Huni di Komplek Dadali,"Andir, Bandung",5,3,0,6500000000,475,300
Rumah Sudirman Townhouse Di Jalan Jendral Sudirman Lokasi Strategis Dekat Pusat Kota,"Andir, Bandung",5,4,1,6500000000,195,320
 Rumah Bagus Dijual Harga Dibawah Njop di Sudirman Bandung,"Andir, Bandung",4,3,1,4000000000,255,350
